text,label,id
特朗普底牌已經畀人睇到哂，打伊朗？你估伊拉克咁容易打咩！當年發生911悲劇事件全美國憤怒要報仇，現在出師冇名想打伊朗？,-1,1
美國總統川普要求烏克蘭總統調查自己的政治對手被談和台灣的民進黨可以光明正大的干這種事情哈哈,0,2
環球時報說得沒錯啊台軍應該抓緊向美爹索賠,-1,3
看你美爹好久把你們🐸推出來送死,-1,4
反滲透，反間諜。。。這確實有點嚇人了。。鬧大了就又是一場政治運動和政治迫害啊。。不光是白色恐怖，美國的麥卡錫主義，大陸的肅反運動，蘇聯的大清洗，都從源自這樣的內容。。。鄭麗文委員的擔心還是挺有道理的。。,0,5
這是美國出手的澳洲媒體爆料王志強是要影響澳洲人民警戒心其實是西方國家要台灣抓向心這個新聞時間點是套好的國民黨要趕快做切割,-1,6
喜歡明老師娓娓道來的論述方式，邏輯清楚，條例清晰。細心聆聽時，不知不覺就對中美關係有清楚的概念。,0,7
你們台灣人真聰明哦，確實我們大陸人學習毛澤東思想學的好，他教育我們活到老學到老🥱🥱🥱🥱尤其對老美,0,8
美國全民合法持槍中共：我們絕不搞西方那一套！美國警察暴力執法中共：我們要向美國學習！美國人投票選舉政治領袖中共：中國人素質低劣，不配有選擇權！,0,9
2003年sars(鐘南山)刻意對台灣封瞞疫情，導致台灣島內疫病人數眾多，治療醫師11人死亡，醫療菁英十數人因疫死亡，同年四月(蔣彥永)對美國媒體透露sars疫情，台灣知情後有了應對準備，蔣彥永卻被中共逮捕，被住院失聯至今，(鐘南山)這老不死才成為中共所謂的權威,0,10
(涪陵)陪陵榨菜吃完了夸起你美國爸爸的時候口吐白沫翻白眼,-1,11
